KC ,-2.5,-7,-3,-13.5,-4,-3.5,-6.5,,-6.5,-7,-2.5,-9.5,-5,-2
NO ,-2,,3,3,-8,2.5,-3,1,-3,-7.5,6.5,-6.5,-4,-3.5
TB ,-10.5,-6.5,-12,-3,,-5.5,-13.5,-6.5,-8,-3.5,-6.5,-4,-13.5,-9.5
GB ,-3,-4.5,-8,1.5,4,-3,-0.5,0.5,,-9.5,3,-3,-4,-8
CIN ,3,-3.5,7,-5,3,,4,-3,2,3,6,3,5,7
DAL ,-7,0.5,,2,-3,-7.5,6.5,-3.5,3,-1.5,-4,-5,-2.5,-3
LAR ,-2,-7.5,-14,-14,-6.5,1,,-0.5,-16.5,-1,-4.5,-2.5,1,-3.5
TEN ,-4,2,3,-1.5,6.5,-2.5,-13.5,1,,-13.5,-1,-0.5,-5,-9
LAC ,-1.5,3.5,,-5,-3,-3.5,-6,3,-2,-9.5,2.5,-9.5,-3,1.5
CHI ,5.5,4.5,12,4,4,,3.5,-3,3.5,9.5,3,7.5,-4,6.5
MIA ,10.5,-6.5,-3.5,9.5,-10,3,-4,-1.5,-6.5,,-9.5,6.5,5,-1.5
WAS ,2,7,8,7,,5.5,3.5,2,4,1.5,2,5,-3.5,-3
MIN ,-7.5,1.5,,-2,5,3.5,0.5,4.5,-6.5,-4,-3,2.5,4,-6.5
BAL ,-7,-3.5,-7,,-5,-3,-3.5,-3,-3,3,-3,-3,-1,-7
ATL ,-3.5,,3.5,2,8,7.5,2,-3.5,8,6.5,9.5,-6.5,10.5,3.5
SEA ,2,-2.5,-3,-13.5,,3,-3,-2,-1.5,-10.5,4.5,-7.5,-12,3
IND ,7,-10.5,8,1.5,-8,-9.5,9.5,6.5,-6,,-1.5,6.5,0.5,-4
DET ,7.5,3.5,14,3.5,,7.5,13,3,6.5,11,7,6.5,12,8
LV ,-5.5,3.5,-5,,-4,3.5,-4,3.5,-4,7,4.5,-1,-0.5,-1.5
NYJ ,3.5,,9.5,5,8,10.5,4,2,4,7.5,9.5,-3,13.5,15
ARI ,-5,3.5,-14.5,-1.5,3.5,-5,3,,-3.5,1,-7,-6.5,2.5,-3
CAR ,-4,-1.5,-3,-2,-3,5,-3.5,1.5,,-6.5,7,4,4,9.5
JAX ,4,6.5,,13.5,10.5,9.5,9.5,3.5,16.5,13.5,-3,3,10.5,4
PIT ,-1,2.5,,6.5,-4,-7.5,6,3,3,4,1,9.5,3,7
NE ,-8.5,-0.5,-9.5,5,3,2,-2,-1,7,,1.5,3,-10.5,1.5
NYG ,7,7.5,3,13.5,4,,13.5,1.5,6.5,9.5,4,5.5,4,3
PHI ,4,6.5,5,-3.5,3,6.5,3,-1.5,-4,,-2,-5.5,3.5,3
HOU ,8.5,10.5,14.5,14,10,,13.5,-2,6,10.5,3,9.5,16,9
